Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.01G240100,Gm01,59154595-59162009,homeobox-leucine zipper protein ANTHOCYANINLESS 2-like isoform X2 [Glycine max],IPR002913;IPR009057;IPR023393,GO:0003677;GO:0003700;GO:0005634;GO:0008289;GO:0043565
Glyma.01G240167,Gm01,59165103-59167629,Cell wall protein-like n=3 Tax=Oryza RepID=Q8H3Y9_ORYSJ; ,IPR006918,GO:0010215;GO:0016049;GO:0031225
Glyma.01G240233,Gm01,59166182-59169379,"type I inositol 1,4,5-trisphosphate 5-phosphatase 1-like isoform X3 [Glycine max];",IPR005135,NA
Glyma.01G240300,Gm01,59170328-59173624,pectinesterase/pectinesterase inhibitor 18-like [Glycine max],IPR006501;IPR011050,GO:0004857;GO:0005618;GO:0030599;GO:0042545
Glyma.01G240401,Gm01,59181149-59181903,pectinesterase/pectinesterase inhibitor 18-like [Glycine max]; ,IPR011050,GO:0005618;GO:0030599;GO:0042545
Glyma.01G240500,Gm01,59186801-59190916,uncharacterized protein LOC100816371 isoform X1 [Glycine max],NA,NA
Glyma.01G240700,Gm01,59192178-59197553,"probable UDP-3-O-acylglucosamine N-acyltransferase 2, mitochondrial-like isoform X1 [Glycine max];",IPR007691,GO:0009245
Glyma.01G240800,Gm01,59198600-59201782,"receptor kinase 1;  ,",IPR002052;IPR002902;IPR011009;IPR013320,GO:0003676;GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0008168;GO:0032259
Glyma.01G240900,Gm01,59204255-59208439,receptor kinase 2,IPR002902;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G241000,Gm01,59209561-59212845,receptor kinase 3,IPR002902;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G241200,Gm01,59224325-59226122,uncharacterized protein LOC100811541 isoform X2 [Glycine max];,IPR010410,NA
Glyma.01G241300,Gm01,59237674-59287418,"phosphotransferases, alcohol group as acceptor; binding; inositol or phosphatidylinositol kinases;  ,",IPR003152;IPR009076;IPR011009;IPR011990;IPR014009;IPR016024;IPR024585;IPR026683,GO:0005488;GO:0005515;GO:0008144
Glyma.01G241400,Gm01,59291529-59294058,uncharacterized protein LOC100817442 isoform X1 [Glycine max],NA,NA
Glyma.01G241500,Gm01,59294059-59297921,Peptidase M50 family protein,NA,NA
Glyma.01G241550,Gm01,59298916-59300603,uncharacterized protein LOC102660659 [Glycine max],NA,NA
Glyma.01G241600,Gm01,59301516-59302696,ubiquinol-cytochrome C reductase n=2 Tax=Fischerella RepID=UPI0002D45611;,IPR015947,NA
Glyma.01G241700,Gm01,59306134-59306689,uncharacterized protein LOC102670513 [Glycine max],NA,NA
Glyma.01G241800,Gm01,59308232-59308919,40S ribosomal protein S20-2,IPR001848;IPR027486,GO:0003735;GO:0005840;GO:0006412
Glyma.01G241900,Gm01,59309743-59310186,uncharacterized protein LOC102660124 [Glycine max],NA,NA
Glyma.01G242000,Gm01,59311994-59314847,magnesium transporter 4,IPR002523;IPR026573,GO:0015095;GO:0015693;GO:0016020;GO:0030001;GO:0046873;GO:0055085
Glyma.01G242100,Gm01,59319364-59320737,uncharacterized protein LOC100776716 isoform X2 [Glycine max],NA,NA
Glyma.01G242200,Gm01,59328685-59329872,Unknown protein,NA,NA
Glyma.01G242300,Gm01,59332634-59340740,myosin heavy chain-related,NA,NA
Glyma.01G242400,Gm01,59342300-59346622,Y-family DNA polymerase H; ,IPR001126,GO:0003684;GO:0003887;GO:0006281
Glyma.01G242500,Gm01,59347766-59349926,uncharacterized protein LOC100819584 [Glycine max],NA,NA
Glyma.01G242700,Gm01,59353077-59353492,EPIDERMAL PATTERNING FACTOR-like protein 4-like [Glycine max],NA,NA
Glyma.01G242800,Gm01,59355508-59360468,vacuolar sorting receptor 4,IPR001881;IPR003137;IPR012336;IPR026823,GO:0005509
Glyma.01G242902,Gm01,59360552-59362064,40S ribosomal protein S29-like [Glycine max],IPR001209,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.01G243000,Gm01,59363098-59363913,histone deacetylase; ,IPR000286;IPR001607;IPR013083,GO:0008270
Glyma.01G243100,Gm01,59365086-59368756,Amino acid permease family protein; ,IPR002293,GO:0003333;GO:0015171;GO:0016020
Glyma.01G243200,Gm01,59368779-59371144,receptor-like kinase; ,IPR001611;IPR013210;IPR025875,GO:0005515
Glyma.01G243300,Gm01,59371883-59374129,SWIB/MDM2 domain superfamily protein;,IPR003121,GO:0005515
Glyma.01G243400,Gm01,59384257-59386706,leucine-rich repeat extensin-like protein 3-like [Glycine max],NA,NA
Glyma.01G243600,Gm01,59390194-59395504,alpha-L-fucosidase-like protein; ,IPR016518;IPR027414,GO:0003824;GO:0004560
Glyma.01G243800,Gm01,59395736-59396566,LYR motif-containing protein n=4 Tax=Brassicaceae RepID=LYRM9_ARATH;,IPR008011,NA
Glyma.01G243900,Gm01,59399640-59412506,DNA repair protein REV1,IPR012112,GO:0000287;GO:0003684;GO:0003887;GO:0006281;GO:0016779
Glyma.01G244200,Gm01,59419245-59420219,methylthioribose kinase;,IPR011009,NA
Glyma.01G244300,Gm01,59421648-59425084,Pseudouridine synthase family protein,IPR020103,GO:0001522;GO:0003723;GO:0009451;GO:0009982
Glyma.01G244400,Gm01,59425962-59436630,gamma-tubulin complex component 3-like isoform X5 [Glycine max]; ,IPR007259,GO:0000226;GO:0000922;GO:0005815
Glyma.01G244450,Gm01,59438345-59439199,kynurenine formamidase-like protein,NA,NA
Glyma.01G244500,Gm01,59440287-59443034,Calcium-dependent lipid-binding (CaLB domain) family protein;,IPR000008,GO:0005515
Glyma.01G244600,Gm01,59444448-59446396,Leucine-rich repeat receptor-like protein kinase family protein,IPR001611;IPR013210,GO:0005515
Glyma.01G244651,Gm01,59446813-59447198,putative ribonuclease H protein At1g65750-like [Glycine max],NA,NA
Glyma.01G244700,Gm01,59452489-59472755,DNA repair and recombination protein RAD54-like [Glycine max],IPR000330;IPR001650;IPR027417,GO:0003676;GO:0003677;GO:0004386;GO:0005524
Glyma.01G244800,Gm01,59475030-59476979,"DNA binding protein, putative n=1 Tax=Ricinus communis RepID=B9RYJ7_RICCO",IPR007930;IPR015300,GO:0003677
Glyma.01G244900,Gm01,59478628-59490290,presequence protease 2,IPR011249;IPR013578,GO:0003824;GO:0006508;GO:0046872
Glyma.01G245100,Gm01,59491596-59499209,histone deacetylase 1; ,IPR000286;IPR023801,GO:0004407;GO:0016575
Glyma.01G245200,Gm01,59506400-59521410,tetratricopeptide repeat protein 37-like isoform X2 [Glycine max];,IPR011990,GO:0005515
Glyma.01G245300,Gm01,59523237-59525166,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G245400,Gm01,59526836-59534261,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).;,IPR001943,GO:0005515
Glyma.01G245500,Gm01,59536129-59539907,Nucleotide-sugar transporter family protein;,IPR004853,NA
Glyma.01G245601,Gm01,59548164-59576887,DNAJ homologue 2,IPR001623;IPR026894,NA
Glyma.02G000100,Gm02,3609-19119,uncharacterized protein LOC100816444 isoform X2 [Glycine max],IPR007309;IPR011991,NA
Glyma.02G000200,Gm02,19353-23570,eukaryotic translation initiation factor 5-like [Glycine max],IPR002735;IPR016024,GO:0003743;GO:0005488;GO:0005515;GO:0006413
Glyma.02G000300,Gm02,28467-30029,NAD(P)H dehydrogenase 18,NA,NA
Glyma.02G000400,Gm02,41567-45748,ATP-binding/protein serine/threonine kinase [Glycine max],IPR011009;IPR013320;IPR018392,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0016998
Glyma.02G000500,Gm02,57900-60070,auxin response factor 11,IPR003311,GO:0005634;GO:0046983
Glyma.02G000600,Gm02,67534-73953,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.02G000700,Gm02,75774-80141,sieve element occlusion protein,IPR027942;IPR027944,NA
Glyma.02G000751,Gm02,82657-84396,sieve element occlusion protein;,IPR027942,NA
Glyma.02G000800,Gm02,90717-92139,basic helix-loop-helix (bHLH) DNA-binding superfamily protein; domain);,IPR011598,GO:0046983
Glyma.02G000900,Gm02,110707-114045,BolA-like family protein;,IPR002634,NA
Glyma.02G001000,Gm02,118007-131291,DNA-binding protein SMUBP-2; ,IPR014001;IPR027417,GO:0000166;GO:0017111
Glyma.02G001100,Gm02,131279-136345,benzyl alcohol O-benzoyltransferase [Glycine max],IPR003480;IPR023213,NA
Glyma.02G001200,Gm02,141768-150695,neurochondrin protein;,IPR008709,NA
Glyma.02G001300,Gm02,155332-157582,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages ; ,IPR007230;IPR018625,GO:0005643;GO:0006810
Glyma.02G001400,Gm02,157676-164118,U-box domain-containing protein 44-like isoform X1 [Glycine max],IPR013083;IPR016024,GO:0000151;GO:0004842;GO:0005488;GO:0005515;GO:0016567
Glyma.02G001500,Gm02,176704-180101,3-ketoacyl-CoA synthase 11,IPR012392;IPR016039,GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020
Glyma.02G001600,Gm02,183104-188496,ARM repeat superfamily protein;,IPR016024,GO:0005488
Glyma.02G001700,Gm02,203479-207169,Protein of unknown function (DUF506);,IPR006502,NA
Glyma.02G001800,Gm02,231911-232646,vegetative cell wall protein gp1-like [Glycine max],NA,NA
Glyma.02G001900,Gm02,234477-237999,unknown protein; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 10 growth stages,NA,NA
Glyma.02G002000,Gm02,239123-246475,2-methyl-6-phytylbenzoquinone methyltranferase,IPR013216,GO:0008152;GO:0008168
Glyma.02G002100,Gm02,248887-251750,probable calcium-binding protein CML20 [Glycine max];,IPR011992,GO:0005509
Glyma.02G002200,Gm02,263423-270120,dentin sialophosphoprotein-like [Glycine max],NA,NA
Glyma.02G002300,Gm02,272968-274865,60S ribosomal protein L30-like [Glycine max],IPR000231;IPR004038;IPR022991,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.02G002500,Gm02,292187-301806,Argonaute family protein,IPR003100;IPR012337;IPR014811,GO:0003676;GO:0005515
Glyma.02G002650,Gm02,319747-320690,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.02G002700,Gm02,320889-324777,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.02G002800,Gm02,326210-328941,60S ribosomal protein L7a-1-like [Glycine max]; ,IPR004038;IPR018492,GO:0030529;GO:0042254
Glyma.02G002900,Gm02,329910-336368,probable methyltransferase PMT3-like [Glycine max];,IPR004159,GO:0008168
Glyma.02G003000,Gm02,341689-345342,uncharacterized protein LOC100526876 isoform X1 [Glycine max],NA,NA
Glyma.02G003100,Gm02,347394-355723,Nop14 nucleolar-like protein;,IPR007276,GO:0032040
Glyma.02G003200,Gm02,357362-375510,Protein kinase family protein,IPR000961;IPR011009;IPR011993,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.02G003300,Gm02,380872-386161,"NADH-ubiquinone oxidoreductase 51 kDa subunit; activity),",IPR011537,GO:0008137;GO:0010181;GO:0051287;GO:0055114
Glyma.02G003400,Gm02,392553-400293,peptide transporter 3,IPR000109;IPR016196,GO:0005215;GO:0006810;GO:0016020
Glyma.02G003500,Gm02,401639-405935,CRS1 / YhbY (CRM) domain-containing protein;,IPR001890,GO:0003723
Glyma.02G003600,Gm02,409376-413188,"RNA recognition motif, a.k.a. RRM, RBD protein;",IPR012677,GO:0000166
Glyma.02G003700,Gm02,433148-446732,phosphate transporter PHO1-like isoform X1 [Glycine max],IPR004331;IPR004342,GO:0016021
Glyma.02G003800,Gm02,447698-451972,Transducin/WD40 repeat-like superfamily protein,IPR011047;IPR015943,GO:0005515
Glyma.02G003900,Gm02,454809-458627,ROP-interactive CRIB motif-containing protein 3;,IPR000095,NA
Glyma.02G004000,Gm02,459603-466443,glycolipid transfer protein 1,IPR014830,GO:0005737;GO:0017089;GO:0046836;GO:0051861
Glyma.02G004100,Gm02,468222-470285,Ribosomal protein L14,IPR002784;IPR008991,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.02G004200,Gm02,473084-482650,dentin sialophosphoprotein-like isoform X1 [Glycine max],NA,NA
Glyma.02G004400,Gm02,492138-500938,tetratricopeptide repeat protein 1-like isoform X1 [Glycine max];,IPR011990,GO:0005515
Glyma.02G004600,Gm02,504510-507410,protein IQ-DOMAIN 14-like isoform X1 [Glycine max],IPR000048;IPR025064,GO:0005515
Glyma.02G004800,Gm02,521334-528043,hypothetical protein,NA,NA
Glyma.02G005000,Gm02,528863-536205,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages ;,IPR019312,NA
Glyma.02G005100,Gm02,565485-571602,uncharacterized protein LOC100793882 isoform X2 [Glycine max],IPR008546;IPR013666,NA
Glyma.02G005200,Gm02,575956-580630,aldo/keto reductase family oxidoreductase; ,IPR001395;IPR023210,GO:0016491;GO:0055114
Glyma.02G005300,Gm02,584718-593035,"Regulator of chromosome condensation (RCC1) family protein; domain),",IPR009091;IPR011993;IPR013083;IPR013591;IPR027988,GO:0046872
Glyma.02G005400,Gm02,595119-596251,uncharacterized protein LOC100779507 [Glycine max];,IPR008480,NA
Glyma.02G005500,Gm02,599083-605391,malate dehydrogenase,IPR001557,GO:0003824;GO:0005975;GO:0006108;GO:0016491;GO:0016615;GO:0030060;GO:0044262;GO:0055114
Glyma.02G005600,Gm02,604521-608740,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.02G005700,Gm02,626956-632331,Deoxyribodipyrimidine photo-lyase (DNA photolyase) (Photoreactivating enzyme) n=1 Tax=Phaeospirillum molischianum DSM 120 RepID=H8FVZ1_PHAMO,IPR002081,GO:0003913;GO:0006281
Glyma.02G005800,Gm02,635637-640505,phosphate transporter 1; 7,IPR005828;IPR016196,GO:0005315;GO:0006817;GO:0016021;GO:0022857;GO:0055085
Glyma.02G006000,Gm02,654515-660455,serine/threonine protein phosphatase 2A;,IPR004843,GO:0016787
Glyma.02G006100,Gm02,663417-664239,Unknown protein,NA,NA
Glyma.02G006200,Gm02,671149-672308,ethylene-responsive transcription factor 1B,IPR016177,GO:0003677;GO:0003700
Glyma.02G006300,Gm02,688277-689821,ethylene-responsive transcription factor 1B-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.02G006400,Gm02,691963-695260,hepatocellular carcinoma-associated antigen 59;,IPR010756,NA
Glyma.02G006500,Gm02,694580-702263,uncharacterized aarF domain-containing protein kinase 1-like [Glycine max];,IPR011009,NA
Glyma.02G006600,Gm02,703072-707979,protein notum homolog isoform X1 [Glycine max];,IPR004963,NA
Glyma.02G006700,Gm02,708593-709999,Protein of unknown function (DUF1685),NA,NA
Glyma.02G006800,Gm02,715451-717727,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.02G006900,Gm02,741412-743972,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.02G007000,Gm02,744804-746914,transcription factor PIL1-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.02G007100,Gm02,747551-754794,uncharacterized protein LOC100783804 isoform X2 [Glycine max],NA,NA
Glyma.02G007166,Gm02,755493-757448,protoporphyrinogen IX oxidase,IPR004572,GO:0004729;GO:0006779;GO:0016491;GO:0055114
Glyma.02G007300,Gm02,762878-764662,auxin-responsive protein IAA30-like [Glycine max],IPR003311,GO:0005634;GO:0046983
Glyma.02G007400,Gm02,766604-768002,Chitinase family protein,IPR016283;IPR023346,GO:0004568;GO:0005975;GO:0006032;GO:0016998
Glyma.02G007500,Gm02,778388-782988,WRKY family transcription factor,IPR003657,GO:0003700;GO:0043565
Glyma.02G007550,Gm02,784684-786624,protein S-acyltransferase 18-like [Glycine max],NA,NA
Glyma.02G007600,Gm02,786932-791802,probable polygalacturonase-like [Glycine max]; ,IPR000743;IPR011050,GO:0004650;GO:0005975
Glyma.02G007700,Gm02,796309-807725,preprotein translocase subunit SecA,IPR000185;IPR027417,GO:0005524;GO:0006605;GO:0006886;GO:0016020;GO:0017038
Glyma.02G007800,Gm02,808719-816315,isopenicillin N epimerase-like protein; ,IPR015424,GO:0003824;GO:0008152;GO:0030170
Glyma.02G008000,Gm02,824100-830663,ABC transporter family protein (ATP-binding component),IPR011527;IPR027417,GO:0000166;GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0017111;GO:0055085
Glyma.02G008100,Gm02,833196-836211,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 10 growth stages,NA,NA
Glyma.02G008200,Gm02,839609-841034,MYB transcription factor MYB51 [Glycine max];,IPR009057,GO:0003677
Glyma.02G008300,Gm02,842819-845328,probable pectinesterase/pectinesterase inhibitor 21-like [Glycine max],IPR006501;IPR011050,GO:0004857;GO:0005618;GO:0030599;GO:0042545
Glyma.02G008400,Gm02,849915-855787,probable pectinesterase/pectinesterase inhibitor 21-like [Glycine max],IPR006501;IPR011050,GO:0004857;GO:0005618;GO:0030599;GO:0042545
Glyma.02G008500,Gm02,855640-862043,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.02G008600,Gm02,872068-880043,squamosa promoter binding protein-like 1; ,IPR004333;IPR020683,GO:0003677;GO:0005634
Glyma.02G008701,Gm02,880996-881238,S-adenosyl methionine synthetase n=3 Tax=Pseudotsuga RepID=C6F6P2_PSEMZ; ,IPR002133,GO:0004478;GO:0005524;GO:0006556
Glyma.02G008800,Gm02,884256-885747,AUTOPHAGY 8E;,IPR004241,NA
Glyma.02G008900,Gm02,887773-889276,peroxidase 5-like [Glycine max],IPR010255,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.02G009000,Gm02,890435-894352,Polyketide cyclase/dehydrase and lipid transport superfamily protein,IPR005031;IPR023393,NA
Glyma.02G009100,Gm02,894722-897547,"Protein phosphatase 2C family protein; -like domain),",IPR001932;IPR015655,GO:0003824;GO:0004722;GO:0006470
Glyma.02G009200,Gm02,904757-909312,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.02G009300,Gm02,914938-917684,polygalacturonase 4; ,IPR000743;IPR011050,GO:0004650;GO:0005975
Glyma.02G009400,Gm02,923621-924547,protein NIM1-INTERACTING 1-like isoform X2 [Glycine max],NA,NA
Glyma.02G009500,Gm02,933613-934506,hypothetical protein,NA,NA
Glyma.02G009600,Gm02,937772-940634,ADP-ribosylation factor 1,IPR003579;IPR005225;IPR006689;IPR027417,GO:0005525;GO:0005622;GO:0006886;GO:0007264;GO:0015031
Glyma.02G009700,Gm02,940961-943196,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.02G009751,Gm02,947208-948572,Unknown protein,NA,NA
Glyma.02G009800,Gm02,951577-952659,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.02G010000,Gm02,954961-955607,Unknown protein,NA,NA
Glyma.02G010100,Gm02,961362-965801,gibberellin 20 oxidase 1-like [Glycine max],IPR002283;IPR026992;IPR027443,GO:0005506;GO:0016491;GO:0055114
Glyma.02G010200,Gm02,980630-982389,DNA methyltransferase 1-associated protein n=1 Tax=Phaseolus vulgaris RepID=T2DMV6_PHAVU;,IPR025929,NA
Glyma.02G010250,Gm02,985470-988214,Unknown protein,NA,NA
Glyma.02G010300,Gm02,989222-997142,long-chain acyl-CoA synthetase 2,IPR000873,GO:0003824;GO:0008152
Glyma.02G010500,Gm02,998001-1002129,pre-mRNA splicing factor ATP-dependent RNA helicase,IPR001650;IPR007502;IPR011709;IPR014001;IPR027417,GO:0003676;GO:0004386;GO:0005524;GO:0008026
Glyma.02G010600,Gm02,1008407-1011092,glycerol-3-phosphate acyltransferase 3;,IPR002123,GO:0008152
Glyma.02G010700,Gm02,1016838-1020678,uncharacterized protein LOC100778592 isoform X3 [Glycine max],NA,NA
Glyma.02G010900,Gm02,1025541-1027900,WRKY family transcription factor,IPR017396,GO:0003700;GO:0043565
Glyma.02G011100,Gm02,1048484-1056341,heme binding;,IPR019020,GO:0020037
Glyma.02G011200,Gm02,1058093-1061415,PENTATRICOPEPTIDE REPEAT 596,IPR002885;IPR011990,GO:0005515
Glyma.02G011300,Gm02,1060734-1063367,"beta-carotene isomerase D27, chloroplastic-like [Glycine max];",IPR025114,NA
Glyma.02G011400,Gm02,1066697-1074918,Protein kinase superfamily protein,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.02G011500,Gm02,1075451-1076429,Plant invertase/pectin methylesterase inhibitor superfamily protein,IPR006501,GO:0004857;GO:0030599
Glyma.02G011700,Gm02,1080672-1081156,uncharacterized protein LOC100793874 isoform X1 [Glycine max];,IPR014824,GO:0005506
